"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","brd_blocks","ul_blocks","dl_blocks","total_ul_dl_blocks","raw_period_us","frame_period_us","frame_count","added_gap_us","normal_solution","total_duration_us"
"5","2","62.5","1","2","1","1","2","1622431","1750000","4","127569","1","7000000"
"5","2","62.5","1","2","1","2","3","1884575","2000000","1","115425","1","2000000"
"5","2","62.5","1","2","1","3","4","2146719","2250000","4","103281","1","9000000"
"5","2","62.5","1","2","1","4","5","2408863","2500000","2","91137","1","5000000"
"5","2","62.5","1","2","1","5","6","2671007","3000000","1","328993","1","3000000"
"5","2","62.5","1","2","1","6","7","2933151","3000000","1","66849","1","3000000"
"5","2","62.5","1","2","1","7","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","1","2","1","8","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","1","2","1","9","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","1","10","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","1","11","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","1","12","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","1","13","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","1","14","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","1","15","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","1","16","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","2","1","3","1884575","2000000","1","115425","1","2000000"
"5","2","62.5","1","2","2","2","4","2146719","2250000","4","103281","1","9000000"
"5","2","62.5","1","2","2","3","5","2408863","2500000","2","91137","1","5000000"
"5","2","62.5","1","2","2","4","6","2671007","3000000","1","328993","1","3000000"
"5","2","62.5","1","2","2","5","7","2933151","3000000","1","66849","1","3000000"
"5","2","62.5","1","2","2","6","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","1","2","2","7","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","1","2","2","8","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","2","9","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","2","10","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","2","11","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","2","12","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","2","13","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","2","14","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","2","15","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","2","16","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","3","1","4","2146719","2250000","4","103281","1","9000000"
"5","2","62.5","1","2","3","2","5","2408863","2500000","2","91137","1","5000000"
"5","2","62.5","1","2","3","3","6","2671007","3000000","1","328993","1","3000000"
"5","2","62.5","1","2","3","4","7","2933151","3000000","1","66849","1","3000000"
"5","2","62.5","1","2","3","5","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","1","2","3","6","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","1","2","3","7","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","3","8","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","3","9","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","3","10","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","3","11","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","3","12","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","3","13","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","3","14","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","3","15","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","3","16","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","4","1","5","2408863","2500000","2","91137","1","5000000"
"5","2","62.5","1","2","4","2","6","2671007","3000000","1","328993","1","3000000"
"5","2","62.5","1","2","4","3","7","2933151","3000000","1","66849","1","3000000"
"5","2","62.5","1","2","4","4","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","1","2","4","5","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","1","2","4","6","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","4","7","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","4","8","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","4","9","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","4","10","14","4768159","5000000","1","231841","1","5000000"
"5","2","62.5","1","2","4","11","15","5030303","6000000","1","969697","1","6000000"
"5","2","62.5","1","2","4","12","16","5292447","6000000","1","707553","1","6000000"
"5","2","62.5","1","2","4","13","17","5554591","6000000","1","445409","1","6000000"
"5","2","62.5","1","2","4","14","18","5816735","6000000","1","183265","1","6000000"
"5","2","62.5","1","2","4","15","19","6078879","7000000","1","921121","1","7000000"
"5","2","62.5","1","2","4","16","20","6341023","7000000","1","658977","1","7000000"
"5","2","62.5","1","2","5","1","6","2671007","3000000","1","328993","1","3000000"
"5","2","62.5","1","2","5","2","7","2933151","3000000","1","66849","1","3000000"
"5","2","62.5","1","2","5","3","8","3195295","3500000","2","304705","1","7000000"
"5","2","62.5","1","2","5","4","9","3457439","3500000","2","42561","1","7000000"
"5","2","62.5","1","2","5","5","10","3719583","4000000","1","280417","1","4000000"
"5","2","62.5","1","2","5","6","11","3981727","4000000","1","18273","1","4000000"
"5","2","62.5","1","2","5","7","12","4243871","4500000","2","256129","1","9000000"
"5","2","62.5","1","2","5","8","13","4506015","5000000","1","493985","1","5000000"
"5","2","62.5","1","2","5","9","14","4768159","5000000","1","231841","1","5000000"
