"rate_mode","physical_rate_khz","bandwidth_khz","super_frame_num","tested_combinations","normal_combinations","fallback_combinations","max_supported_ul_dl_sum"
"5","2","62.5","1","256","256","0","32"
"5","2","62.5","2","256","91","165","14"
"5","2","62.5","3","256","21","235","7"
"5","2","62.5","4","256","10","246","5"
"5","2","62.5","5","256","3","253","3"
"5","2","62.5","6","256","0","256","0"
"5","2","62.5","7","256","0","256","0"
"5","2","62.5","8","256","0","256","0"
"5","2","62.5","9","256","0","256","0"
"5","2","62.5","10","256","0","256","0"
"5","2","62.5","11","256","0","256","0"
"5","2","62.5","12","256","0","256","0"
"5","2","62.5","13","256","0","256","0"
"5","2","62.5","14","256","0","256","0"
"5","2","62.5","15","256","0","256","0"
"5","2","62.5","16","256","0","256","0"
"5","2","62.5","17","256","0","256","0"
"5","2","62.5","18","256","0","256","0"
"5","2","62.5","19","256","0","256","0"
"5","2","62.5","20","256","0","256","0"
"5","2","62.5","21","256","0","256","0"
"5","2","62.5","22","256","0","256","0"
"5","2","62.5","23","256","0","256","0"
"5","2","62.5","24","256","0","256","0"
"5","2","62.5","25","256","0","256","0"
"5","2","62.5","26","256","0","256","0"
"5","2","62.5","27","256","0","256","0"
"5","2","62.5","28","256","0","256","0"
"5","2","62.5","29","256","0","256","0"
"5","2","62.5","30","256","0","256","0"
"5","2","62.5","31","256","0","256","0"
"5","2","62.5","32","256","0","256","0"
"5","2","62.5","33","256","0","256","0"
"5","2","62.5","34","256","0","256","0"
"5","2","62.5","35","256","0","256","0"
"5","2","62.5","36","256","0","256","0"
"5","2","62.5","37","256","0","256","0"
"5","2","62.5","38","256","0","256","0"
"5","2","62.5","39","256","0","256","0"
"5","2","62.5","40","256","0","256","0"
"5","2","62.5","41","256","0","256","0"
"5","2","62.5","42","256","0","256","0"
"5","2","62.5","43","256","0","256","0"
"5","2","62.5","44","256","0","256","0"
"5","2","62.5","45","256","0","256","0"
"5","2","62.5","46","256","0","256","0"
"5","2","62.5","47","256","0","256","0"
"5","2","62.5","48","256","0","256","0"
"5","2","62.5","49","256","0","256","0"
"5","2","62.5","50","256","0","256","0"
"5","2","62.5","51","256","0","256","0"
"5","2","62.5","52","256","0","256","0"
"5","2","62.5","53","256","0","256","0"
"5","2","62.5","54","256","0","256","0"
"5","2","62.5","55","256","0","256","0"
"5","2","62.5","56","256","0","256","0"
"5","2","62.5","57","256","0","256","0"
"5","2","62.5","58","256","0","256","0"
"5","2","62.5","59","256","0","256","0"
"5","2","62.5","60","256","0","256","0"
"5","2","62.5","61","256","0","256","0"
"5","2","62.5","62","256","0","256","0"
"5","2","62.5","63","256","0","256","0"
"5","2","62.5","64","256","0","256","0"
"5","2","62.5","65","256","0","256","0"
"5","2","62.5","66","256","0","256","0"
"5","2","62.5","67","256","0","256","0"
"5","2","62.5","68","256","0","256","0"
"5","2","62.5","69","256","0","256","0"
"5","2","62.5","70","256","0","256","0"
"5","2","62.5","71","256","0","256","0"
"5","2","62.5","72","256","0","256","0"
"5","2","62.5","73","256","0","256","0"
"5","2","62.5","74","256","0","256","0"
"5","2","62.5","75","256","0","256","0"
"5","2","62.5","76","256","0","256","0"
"5","2","62.5","77","256","0","256","0"
"5","2","62.5","78","256","0","256","0"
"5","2","62.5","79","256","0","256","0"
"5","2","62.5","80","256","0","256","0"
"5","2","62.5","81","256","0","256","0"
"5","2","62.5","82","256","0","256","0"
"5","2","62.5","83","256","0","256","0"
"5","2","62.5","84","256","0","256","0"
"5","2","62.5","85","256","0","256","0"
"5","2","62.5","86","256","0","256","0"
"5","2","62.5","87","256","0","256","0"
"5","2","62.5","88","256","0","256","0"
"5","2","62.5","89","256","0","256","0"
"5","2","62.5","90","256","0","256","0"
"5","2","62.5","91","256","0","256","0"
"5","2","62.5","92","256","0","256","0"
"5","2","62.5","93","256","0","256","0"
"5","2","62.5","94","256","0","256","0"
"5","2","62.5","95","256","0","256","0"
"5","2","62.5","96","256","0","256","0"
