"rate_count","base_bcn_mode","rate_modes","mode_1","mode_2","mode_3","mode_4"
"2","5","5+6","5","6","",""
"2","5","5+7","5","7","",""
"2","5","5+8","5","8","",""
"2","5","5+9","5","9","",""
"2","6","6+7","6","7","",""
"2","6","6+8","6","8","",""
"2","6","6+9","6","9","",""
"2","6","6+10","6","10","",""
"2","7","7+8","7","8","",""
"2","7","7+9","7","9","",""
"2","7","7+10","7","10","",""
"2","7","7+11","7","11","",""
"2","7","7+18","7","18","",""
"2","8","8+9","8","9","",""
"2","8","8+10","8","10","",""
"2","8","8+11","8","11","",""
"2","8","8+18","8","18","",""
"2","9","9+10","9","10","",""
"2","9","9+11","9","11","",""
"2","9","9+18","9","18","",""
"3","5","5+6+7","5","6","7",""
"3","5","5+6+8","5","6","8",""
"3","5","5+6+9","5","6","9",""
"3","5","5+7+8","5","7","8",""
"3","5","5+7+9","5","7","9",""
"3","5","5+8+9","5","8","9",""
"3","6","6+7+8","6","7","8",""
"3","6","6+7+9","6","7","9",""
"3","6","6+7+10","6","7","10",""
"3","6","6+8+9","6","8","9",""
"3","6","6+8+10","6","8","10",""
"3","6","6+9+10","6","9","10",""
"3","7","7+8+9","7","8","9",""
"3","7","7+8+10","7","8","10",""
"3","7","7+8+11","7","8","11",""
"3","7","7+8+18","7","8","18",""
"3","7","7+9+10","7","9","10",""
"3","7","7+9+11","7","9","11",""
"3","7","7+9+18","7","9","18",""
"3","7","7+10+11","7","10","11",""
"3","7","7+10+18","7","10","18",""
"3","7","7+11+18","7","11","18",""
"3","8","8+9+10","8","9","10",""
"3","8","8+9+11","8","9","11",""
"3","8","8+9+18","8","9","18",""
"3","8","8+10+11","8","10","11",""
"3","8","8+10+18","8","10","18",""
"3","8","8+11+18","8","11","18",""
"3","9","9+10+11","9","10","11",""
"3","9","9+10+18","9","10","18",""
"3","9","9+11+18","9","11","18",""
"4","5","5+6+7+8","5","6","7","8"
"4","5","5+6+7+9","5","6","7","9"
"4","5","5+6+8+9","5","6","8","9"
"4","5","5+7+8+9","5","7","8","9"
"4","6","6+7+8+9","6","7","8","9"
"4","6","6+7+8+10","6","7","8","10"
"4","6","6+7+9+10","6","7","9","10"
"4","6","6+8+9+10","6","8","9","10"
"4","7","7+8+9+10","7","8","9","10"
"4","7","7+8+9+11","7","8","9","11"
"4","7","7+8+9+18","7","8","9","18"
"4","7","7+8+10+11","7","8","10","11"
"4","7","7+8+10+18","7","8","10","18"
"4","7","7+8+11+18","7","8","11","18"
"4","7","7+9+10+11","7","9","10","11"
"4","7","7+9+10+18","7","9","10","18"
"4","7","7+9+11+18","7","9","11","18"
"4","7","7+10+11+18","7","10","11","18"
"4","8","8+9+10+11","8","9","10","11"
"4","8","8+9+10+18","8","9","10","18"
"4","8","8+9+11+18","8","9","11","18"
"4","8","8+10+11+18","8","10","11","18"
"4","9","9+10+11+18","9","10","11","18"
