"rate_count","base_bcn_mode","rate_modes","super_frame_num","minimum_blocks_supported","all_1_to_16_blocks_supported","minimum_raw_period_us","minimum_frame_period_us","minimum_added_gap_us","maximum_raw_period_us","maximum_frame_period_us","maximum_candidate_period_us","weighted_block_budget_us","block_support_rule"
"2","5","5+6","1","1","0","2453695","2500000","46305","14250175","","10000000","8332737","262144*(UL5+DL5) + 131072*(UL6+DL6) <= 8332737"
"2","5","5+7","1","1","0","2043580","2250000","206420","11873980","","10000000","8611780","262144*(UL5+DL5) + 65536*(UL7+DL7) <= 8611780"
"2","5","5+8","1","1","0","1835659","2000000","164341","10683019","","10000000","8754165","262144*(UL5+DL5) + 32768*(UL8+DL8) <= 8754165"
"2","5","5+9","1","1","0","1732225","1750000","17775","10088065","","10000000","8824831","262144*(UL5+DL5) + 16384*(UL9+DL9) <= 8824831"
"2","6","6+7","1","1","1","1252413","1400000","147587","7150653","8000000","10000000","9140803","131072*(UL6+DL6) + 65536*(UL7+DL7) <= 9140803"
"2","6","6+8","1","1","1","1044492","1125000","80508","5959692","6000000","10000000","9283188","131072*(UL6+DL6) + 32768*(UL8+DL8) <= 9283188"
"2","6","6+9","1","1","1","941058","1000000","58942","5364738","6000000","10000000","9353854","131072*(UL6+DL6) + 16384*(UL9+DL9) <= 9353854"
"2","6","6+10","1","1","1","890102","900000","9898","5068022","6000000","10000000","9388426","131072*(UL6+DL6) + 8192*(UL10+DL10) <= 9388426"
"2","7","7+8","1","1","1","634377","700000","65623","3583497","4000000","10000000","9562231","65536*(UL7+DL7) + 32768*(UL8+DL8) <= 9562231"
"2","7","7+9","1","1","1","530943","562500","31557","2988543","3000000","10000000","9632897","65536*(UL7+DL7) + 16384*(UL9+DL9) <= 9632897"
"2","7","7+10","1","1","1","479987","500000","20013","2691827","3000000","10000000","9667469","65536*(UL7+DL7) + 8192*(UL10+DL10) <= 9667469"
"2","7","7+11","1","1","1","455659","500000","44341","2544619","3000000","10000000","9683605","65536*(UL7+DL7) + 4096*(UL11+DL11) <= 9683605"
"2","7","7+18","1","1","1","455659","500000","44341","2544619","3000000","10000000","9683605","65536*(UL7+DL7) + 4096*(UL18+DL18) <= 9683605"
"2","8","8+9","1","1","1","323022","350000","26978","1797582","1800000","10000000","9775282","32768*(UL8+DL8) + 16384*(UL9+DL9) <= 9775282"
"2","8","8+10","1","1","1","272066","280000","7934","1500866","1600000","10000000","9809854","32768*(UL8+DL8) + 8192*(UL10+DL10) <= 9809854"
"2","8","8+11","1","1","1","247738","250000","2262","1353658","1400000","10000000","9825990","32768*(UL8+DL8) + 4096*(UL11+DL11) <= 9825990"
"2","8","8+18","1","1","1","247738","250000","2262","1353658","1400000","10000000","9825990","32768*(UL8+DL8) + 4096*(UL18+DL18) <= 9825990"
"2","9","9+10","1","1","1","168632","175000","6368","905912","1000000","10000000","9880520","16384*(UL9+DL9) + 8192*(UL10+DL10) <= 9880520"
"2","9","9+11","1","1","1","144304","150000","5696","758704","800000","10000000","9896656","16384*(UL9+DL9) + 4096*(UL11+DL11) <= 9896656"
"2","9","9+18","1","1","1","144304","150000","5696","758704","800000","10000000","9896656","16384*(UL9+DL9) + 4096*(UL18+DL18) <= 9896656"
"3","5","5+6+7","1","1","0","2874844","3000000","125156","16637404","","10000000","8042660","262144*(UL5+DL5) + 131072*(UL6+DL6) + 65536*(UL7+DL7) <= 8042660"
"3","5","5+6+8","1","1","0","2666923","3000000","333077","15446443","","10000000","8185045","262144*(UL5+DL5) + 131072*(UL6+DL6) + 32768*(UL8+DL8) <= 8185045"
"3","5","5+6+9","1","1","0","2563489","3000000","436511","14851489","","10000000","8255711","262144*(UL5+DL5) + 131072*(UL6+DL6) + 16384*(UL9+DL9) <= 8255711"
"3","5","5+7+8","1","1","0","2256808","2500000","243192","13070248","","10000000","8464088","262144*(UL5+DL5) + 65536*(UL7+DL7) + 32768*(UL8+DL8) <= 8464088"
"3","5","5+7+9","1","1","0","2153374","2250000","96626","12475294","","10000000","8534754","262144*(UL5+DL5) + 65536*(UL7+DL7) + 16384*(UL9+DL9) <= 8534754"
"3","5","5+8+9","1","1","0","1945453","2000000","54547","11284333","","10000000","8677139","262144*(UL5+DL5) + 32768*(UL8+DL8) + 16384*(UL9+DL9) <= 8677139"
"3","6","6+7+8","1","1","1","1465641","1500000","34359","8346921","9000000","10000000","8993111","131072*(UL6+DL6) + 65536*(UL7+DL7) + 32768*(UL8+DL8) <= 8993111"
"3","6","6+7+9","1","1","1","1362207","1400000","37793","7751967","8000000","10000000","9063777","131072*(UL6+DL6) + 65536*(UL7+DL7) + 16384*(UL9+DL9) <= 9063777"
"3","6","6+7+10","1","1","1","1311251","1400000","88749","7455251","8000000","10000000","9098349","131072*(UL6+DL6) + 65536*(UL7+DL7) + 8192*(UL10+DL10) <= 9098349"
"3","6","6+8+9","1","1","1","1154286","1200000","45714","6561006","7000000","10000000","9206162","131072*(UL6+DL6) + 32768*(UL8+DL8) + 16384*(UL9+DL9) <= 9206162"
"3","6","6+8+10","1","1","1","1103330","1125000","21670","6264290","7000000","10000000","9240734","131072*(UL6+DL6) + 32768*(UL8+DL8) + 8192*(UL10+DL10) <= 9240734"
"3","6","6+9+10","1","1","1","999896","1000000","104","5669336","6000000","10000000","9311400","131072*(UL6+DL6) + 16384*(UL9+DL9) + 8192*(UL10+DL10) <= 9311400"
"3","7","7+8+9","1","1","1","744171","750000","5829","4184811","4500000","10000000","9485205","65536*(UL7+DL7) + 32768*(UL8+DL8) + 16384*(UL9+DL9) <= 9485205"
"3","7","7+8+10","1","1","1","693215","700000","6785","3888095","4000000","10000000","9519777","65536*(UL7+DL7) + 32768*(UL8+DL8) + 8192*(UL10+DL10) <= 9519777"
"3","7","7+8+11","1","1","1","668887","700000","31113","3740887","4000000","10000000","9535913","65536*(UL7+DL7) + 32768*(UL8+DL8) + 4096*(UL11+DL11) <= 9535913"
"3","7","7+8+18","1","1","1","668887","700000","31113","3740887","4000000","10000000","9535913","65536*(UL7+DL7) + 32768*(UL8+DL8) + 4096*(UL18+DL18) <= 9535913"
"3","7","7+9+10","1","1","1","589781","600000","10219","3293141","3500000","10000000","9590443","65536*(UL7+DL7) + 16384*(UL9+DL9) + 8192*(UL10+DL10) <= 9590443"
"3","7","7+9+11","1","1","1","565453","600000","34547","3145933","3500000","10000000","9606579","65536*(UL7+DL7) + 16384*(UL9+DL9) + 4096*(UL11+DL11) <= 9606579"
"3","7","7+9+18","1","1","1","565453","600000","34547","3145933","3500000","10000000","9606579","65536*(UL7+DL7) + 16384*(UL9+DL9) + 4096*(UL18+DL18) <= 9606579"
"3","7","7+10+11","1","1","1","514497","562500","48003","2849217","3000000","10000000","9641151","65536*(UL7+DL7) + 8192*(UL10+DL10) + 4096*(UL11+DL11) <= 9641151"
"3","7","7+10+18","1","1","1","514497","562500","48003","2849217","3000000","10000000","9641151","65536*(UL7+DL7) + 8192*(UL10+DL10) + 4096*(UL18+DL18) <= 9641151"
"3","7","7+11+18","1","1","1","490169","500000","9831","2702009","3000000","10000000","9657287","65536*(UL7+DL7) + 4096*(UL11+DL11) + 4096*(UL18+DL18) <= 9657287"
"3","8","8+9+10","1","1","1","381860","400000","18140","2102180","2250000","10000000","9732828","32768*(UL8+DL8) + 16384*(UL9+DL9) + 8192*(UL10+DL10) <= 9732828"
"3","8","8+9+11","1","1","1","357532","360000","2468","1954972","2000000","10000000","9748964","32768*(UL8+DL8) + 16384*(UL9+DL9) + 4096*(UL11+DL11) <= 9748964"
"3","8","8+9+18","1","1","1","357532","360000","2468","1954972","2000000","10000000","9748964","32768*(UL8+DL8) + 16384*(UL9+DL9) + 4096*(UL18+DL18) <= 9748964"
"3","8","8+10+11","1","1","1","306576","312500","5924","1658256","1750000","10000000","9783536","32768*(UL8+DL8) + 8192*(UL10+DL10) + 4096*(UL11+DL11) <= 9783536"
"3","8","8+10+18","1","1","1","306576","312500","5924","1658256","1750000","10000000","9783536","32768*(UL8+DL8) + 8192*(UL10+DL10) + 4096*(UL18+DL18) <= 9783536"
"3","8","8+11+18","1","1","1","282248","300000","17752","1511048","1600000","10000000","9799672","32768*(UL8+DL8) + 4096*(UL11+DL11) + 4096*(UL18+DL18) <= 9799672"
"3","9","9+10+11","1","1","1","203142","218750","15608","1063302","1125000","10000000","9854202","16384*(UL9+DL9) + 8192*(UL10+DL10) + 4096*(UL11+DL11) <= 9854202"
"3","9","9+10+18","1","1","1","203142","218750","15608","1063302","1125000","10000000","9854202","16384*(UL9+DL9) + 8192*(UL10+DL10) + 4096*(UL18+DL18) <= 9854202"
"3","9","9+11+18","1","1","1","178814","180000","1186","916094","1000000","10000000","9870338","16384*(UL9+DL9) + 4096*(UL11+DL11) + 4096*(UL18+DL18) <= 9870338"
"4","5","5+6+7+8","1","1","0","3088072","3500000","411928","17833672","","10000000","7894968","262144*(UL5+DL5) + 131072*(UL6+DL6) + 65536*(UL7+DL7) + 32768*(UL8+DL8) <= 7894968"
"4","5","5+6+7+9","1","1","0","2984638","3000000","15362","17238718","","10000000","7965634","262144*(UL5+DL5) + 131072*(UL6+DL6) + 65536*(UL7+DL7) + 16384*(UL9+DL9) <= 7965634"
"4","5","5+6+8+9","1","1","0","2776717","3000000","223283","16047757","","10000000","8108019","262144*(UL5+DL5) + 131072*(UL6+DL6) + 32768*(UL8+DL8) + 16384*(UL9+DL9) <= 8108019"
"4","5","5+7+8+9","1","1","0","2366602","2500000","133398","13671562","","10000000","8387062","262144*(UL5+DL5) + 65536*(UL7+DL7) + 32768*(UL8+DL8) + 16384*(UL9+DL9) <= 8387062"
"4","6","6+7+8+9","1","1","1","1575435","1600000","24565","8948235","9000000","10000000","8916085","131072*(UL6+DL6) + 65536*(UL7+DL7) + 32768*(UL8+DL8) + 16384*(UL9+DL9) <= 8916085"
"4","6","6+7+8+10","1","1","1","1524479","1600000","75521","8651519","9000000","10000000","8950657","131072*(UL6+DL6) + 65536*(UL7+DL7) + 32768*(UL8+DL8) + 8192*(UL10+DL10) <= 8950657"
"4","6","6+7+9+10","1","1","1","1421045","1500000","78955","8056565","9000000","10000000","9021323","131072*(UL6+DL6) + 65536*(UL7+DL7) + 16384*(UL9+DL9) + 8192*(UL10+DL10) <= 9021323"
"4","6","6+8+9+10","1","1","1","1213124","1250000","36876","6865604","7000000","10000000","9163708","131072*(UL6+DL6) + 32768*(UL8+DL8) + 16384*(UL9+DL9) + 8192*(UL10+DL10) <= 9163708"
"4","7","7+8+9+10","1","1","1","803009","875000","71991","4489409","4500000","10000000","9442751","65536*(UL7+DL7) + 32768*(UL8+DL8) + 16384*(UL9+DL9) + 8192*(UL10+DL10) <= 9442751"
"4","7","7+8+9+11","1","1","1","778681","800000","21319","4342201","4500000","10000000","9458887","65536*(UL7+DL7) + 32768*(UL8+DL8) + 16384*(UL9+DL9) + 4096*(UL11+DL11) <= 9458887"
"4","7","7+8+9+18","1","1","1","778681","800000","21319","4342201","4500000","10000000","9458887","65536*(UL7+DL7) + 32768*(UL8+DL8) + 16384*(UL9+DL9) + 4096*(UL18+DL18) <= 9458887"
"4","7","7+8+10+11","1","1","1","727725","750000","22275","4045485","4500000","10000000","9493459","65536*(UL7+DL7) + 32768*(UL8+DL8) + 8192*(UL10+DL10) + 4096*(UL11+DL11) <= 9493459"
"4","7","7+8+10+18","1","1","1","727725","750000","22275","4045485","4500000","10000000","9493459","65536*(UL7+DL7) + 32768*(UL8+DL8) + 8192*(UL10+DL10) + 4096*(UL18+DL18) <= 9493459"
"4","7","7+8+11+18","1","1","1","703397","750000","46603","3898277","4000000","10000000","9509595","65536*(UL7+DL7) + 32768*(UL8+DL8) + 4096*(UL11+DL11) + 4096*(UL18+DL18) <= 9509595"
"4","7","7+9+10+11","1","1","1","624291","625000","709","3450531","3500000","10000000","9564125","65536*(UL7+DL7) + 16384*(UL9+DL9) + 8192*(UL10+DL10) + 4096*(UL11+DL11) <= 9564125"
"4","7","7+9+10+18","1","1","1","624291","625000","709","3450531","3500000","10000000","9564125","65536*(UL7+DL7) + 16384*(UL9+DL9) + 8192*(UL10+DL10) + 4096*(UL18+DL18) <= 9564125"
"4","7","7+9+11+18","1","1","1","599963","600000","37","3303323","3500000","10000000","9580261","65536*(UL7+DL7) + 16384*(UL9+DL9) + 4096*(UL11+DL11) + 4096*(UL18+DL18) <= 9580261"
"4","7","7+10+11+18","1","1","1","549007","562500","13493","3006607","3500000","10000000","9614833","65536*(UL7+DL7) + 8192*(UL10+DL10) + 4096*(UL11+DL11) + 4096*(UL18+DL18) <= 9614833"
"4","8","8+9+10+11","1","1","1","416370","437500","21130","2259570","2500000","10000000","9706510","32768*(UL8+DL8) + 16384*(UL9+DL9) + 8192*(UL10+DL10) + 4096*(UL11+DL11) <= 9706510"
